image_id,image_name,intersection,union,IoU,precision,recall,split
166,frame_0166.png,598838,1861917,0.3216244333125483,0.557274256828689,0.43200874928129357,discovery
167,frame_0167.png,571862,1862055,0.30711337742440475,0.5449844565708394,0.4130163318043708,discovery
168,frame_0168.png,534264,1876351,0.2847356384812863,0.5184698528719615,0.38710518841402974,discovery
170,frame_0170.png,457456,1851920,0.2470171497688885,0.48787968956135663,0.333487153130889,discovery
171,frame_0171.png,417490,1835827,0.2274124958397496,0.47152060283800085,0.3052039432562934,discovery
172,frame_0172.png,410737,1810342,0.22688364960874796,0.47901648941815295,0.30121074786230767,discovery
174,frame_0174.png,398805,1815213,0.21970148957725621,0.46060799955649134,0.29580661551185106,discovery
175,frame_0175.png,401104,1819204,0.22048324432004326,0.4561846465997466,0.2990969762499534,discovery
176,frame_0176.png,406449,1838736,0.22104804604902498,0.44619419402716365,0.30462480729032776,discovery
178,frame_0178.png,417439,1884102,0.2215585992690417,0.42587081629176055,0.31592095902644285,discovery
179,frame_0179.png,428084,1898945,0.2254325428066637,0.42389003202316283,0.3250114832572212,discovery
180,frame_0180.png,440150,1908276,0.23065321787833626,0.42378388995387145,0.3360418748716414,discovery
182,frame_0182.png,486377,1929275,0.25210351038602585,0.43788555377496086,0.3727278161285972,discovery
183,frame_0183.png,500503,1964968,0.25471305385125864,0.43818096021025554,0.37823995913068054,discovery
184,frame_0184.png,502296,1984528,0.25310602823442147,0.4305765811792903,0.38045291147639326,discovery
186,frame_0186.png,537914,2014427,0.2670307735152478,0.4340494411325176,0.4096678798734853,discovery
187,frame_0187.png,541672,2036150,0.2660275519976426,0.42753171925255035,0.41322290091826125,discovery
188,frame_0188.png,540129,2055978,0.26271146870248613,0.41951506320737425,0.41275363957942807,discovery
190,frame_0190.png,534817,2033161,0.2630470484137754,0.4148418368811215,0.41822734484907775,discovery
191,frame_0191.png,507183,2000287,0.25355511484102033,0.40408029612302554,0.40499602336790397,discovery
192,frame_0192.png,472330,1979315,0.2386330624483723,0.3852544124448113,0.38537920275712617,discovery
194,frame_0194.png,444963,1907184,0.23330889940351848,0.37696174070839117,0.37974096952090625,discovery
195,frame_0195.png,447151,1848384,0.2419145588795402,0.3889186060367269,0.3902501819679771,discovery
196,frame_0196.png,427935,1776941,0.2408267916604997,0.39390840422613776,0.3825992808186722,discovery
198,frame_0198.png,387663,1666882,0.23256775224640977,0.40216173486536616,0.3554594410217523,discovery
199,frame_0199.png,387136,1685503,0.22968573772933065,0.407254794082468,0.3450286977291362,discovery
200,frame_0200.png,395694,1694497,0.2335170850110682,0.4239816303985616,0.3420266053539169,discovery
202,frame_0202.png,426934,1708017,0.24995887043278844,0.4622273709054886,0.3524575953557565,discovery
203,frame_0203.png,412261,1703954,0.24194373791780763,0.4673260255959736,0.3340729065795818,discovery
204,frame_0204.png,403306,1679644,0.2401139765331225,0.4779549096011453,0.32547408109211756,discovery
206,frame_0206.png,392155,1653530,0.2371623133538551,0.4877689287131348,0.3158190170313794,discovery
207,frame_0207.png,391358,1662135,0.23545500215084816,0.4820516863149882,0.3151959434100548,discovery
208,frame_0208.png,392134,1673302,0.23434741606715345,0.4758376491945074,0.31589470767168487,discovery
210,frame_0210.png,388253,1696622,0.22883883387106851,0.45887094391358046,0.31341814864744866,discovery
211,frame_0211.png,378971,1706040,0.22213488546575696,0.4469134666864786,0.3063538115674794,discovery
212,frame_0212.png,370079,1725007,0.21453768013695018,0.43175624279587654,0.29894792792530805,discovery
214,frame_0214.png,360141,1762122,0.20437915195429146,0.4099256503883663,0.28956968298905456,discovery
215,frame_0215.png,352106,1780750,0.19772904674996492,0.3963965789565525,0.2829094584637981,discovery
216,frame_0216.png,350661,1797407,0.19509270855181937,0.38847603411258746,0.2815626982278928,discovery
218,frame_0218.png,347992,1792486,0.19413931266408777,0.3889873799756318,0.27931690997762204,discovery
219,frame_0219.png,327252,1777070,0.18415256574023534,0.3780729430820295,0.26418070576382674,discovery
220,frame_0220.png,325927,1754562,0.18575975086659804,0.3794826237204147,0.2667996597951731,discovery
222,frame_0222.png,343157,1745704,0.1965722711295844,0.40374546729510763,0.2769791924786529,discovery
223,frame_0223.png,360733,1732231,0.20824762979071498,0.4224574067914912,0.2911315888019421,discovery
224,frame_0224.png,383385,1727237,0.22196432799899493,0.43995634691123414,0.30937955432752906,discovery
226,frame_0226.png,436552,1749769,0.24949121855513498,0.46149292356092675,0.351954465016346,discovery
227,frame_0227.png,474563,1753947,0.2705686089716508,0.48204285904378236,0.38147323169030894,discovery
228,frame_0228.png,514604,1777728,0.2894728552399467,0.4934947615736856,0.411829152251558,discovery
230,frame_0230.png,588303,1894307,0.31056370482714785,0.48123810817045376,0.4668582338993058,discovery
231,frame_0231.png,655082,1982119,0.33049579767915044,0.477532885504864,0.5176893241325246,discovery
232,frame_0232.png,735751,2054539,0.35811001884120963,0.4843019248959485,0.578834245541822,discovery
234,frame_0234.png,855358,2135113,0.4006148620705321,0.5006573132685971,0.6672054077960937,discovery
235,frame_0235.png,877888,2255119,0.3892867737800089,0.4756501607284986,0.6819352653672511,discovery
236,frame_0236.png,947832,2316414,0.40918074230254176,0.4805638804400677,0.7336655022435721,discovery
238,frame_0238.png,1097665,2448118,0.448370952707345,0.4885681119580825,0.8449524088108168,discovery
239,frame_0239.png,1152879,2497243,0.46166071944139997,0.49125219392905367,0.8845811226075248,discovery
240,frame_0240.png,1210515,2526021,0.47921810626277456,0.49841049988244984,0.9256223308877224,discovery
242,frame_0242.png,1215496,2479987,0.49012192402621463,0.5107917992327382,0.923733064204789,discovery
243,frame_0243.png,799197,2150568,0.3716213577064292,0.4903891466018703,0.6054316330125109,discovery
244,frame_0244.png,510639,1883318,0.27113795970728255,0.47816446065464013,0.3850850878026488,discovery
246,frame_0246.png,425250,2052263,0.20721028445184658,0.3726386408525867,0.31822300978727514,discovery
247,frame_0247.png,490535,2320842,0.21136079060961496,0.33341988264185646,0.36602882952257726,discovery
248,frame_0248.png,447366,1982392,0.22566979689183572,0.4112685482514242,0.333360904390281,discovery
250,frame_0250.png,550007,1920546,0.2863805397006893,0.4798868877375628,0.41527670289595187,discovery
251,frame_0251.png,648393,1961734,0.330520345775727,0.4979322992141585,0.49572997868429824,discovery
252,frame_0252.png,468190,1865939,0.25091388303690526,0.4503758342519965,0.36165536952281635,discovery
254,frame_0254.png,872639,1786658,0.4884197199464027,0.6304215746831237,0.6843787301522569,discovery
255,frame_0255.png,934089,1671439,0.5588531798049465,0.6984856121186923,0.7365342976229714,discovery
256,frame_0256.png,999226,1714330,0.5828667759416215,0.7017016806132567,0.7748628981227589,discovery
258,frame_0258.png,946848,1756435,0.5390737488150714,0.695704820972365,0.7053964413108326,discovery
259,frame_0259.png,915432,1779046,0.5145634233178906,0.6916683100203775,0.6677282060446473,discovery
260,frame_0260.png,901876,1794484,0.5025823579368777,0.695221965867771,0.6446064679643002,discovery
262,frame_0262.png,846694,1811718,0.46734315163838963,0.7025643323475623,0.5826154091754836,discovery
263,frame_0263.png,818122,1825028,0.4482791496897582,0.7023682075540542,0.5534039753914005,discovery
264,frame_0264.png,782573,1835842,0.42627470119977645,0.7011731122283039,0.520908272782702,discovery
266,frame_0266.png,717195,1854738,0.38668264736043584,0.6987446475806334,0.46404529714117115,discovery
267,frame_0267.png,698566,1875515,0.3724662292756923,0.6881440582379857,0.4481043480938281,discovery
268,frame_0268.png,669036,1896347,0.3528025197920001,0.6698263951462726,0.42707251479831965,discovery
270,frame_0270.png,621427,1914758,0.32454597395597773,0.6733044332797733,0.3852057420064293,discovery
271,frame_0271.png,611059,1924118,0.3175787555648874,0.6811454623483316,0.37303549538726016,discovery
272,frame_0272.png,602435,1940506,0.31045253145313645,0.6795473106199043,0.3636976679181631,discovery
274,frame_0274.png,571110,1955928,0.29198927567885935,0.6667927607959342,0.34187251389524914,discovery
275,frame_0275.png,573818,1980474,0.28973770925546105,0.6524915115086432,0.34260531887327106,discovery
276,frame_0276.png,579592,2000170,0.28977136943359816,0.6428233154214289,0.3453802960085858,discovery
278,frame_0278.png,573831,2032244,0.2823632398471837,0.61651081038106,0.3425237106362252,discovery
279,frame_0279.png,566104,2036436,0.277987621511307,0.6079524037093319,0.33870555680203424,discovery
280,frame_0280.png,558944,2045745,0.27322271348579613,0.5964964329354513,0.3351698563962093,discovery
282,frame_0282.png,544304,2070771,0.2628508898376498,0.5677983605633921,0.328596102636175,discovery
